,time,attention_levels,is_looking_at_screen_scores,is_blinking_scores,is_reading_scores,attention_scores
0,1749478080.6458604,1,1,True,0,1.0
1,1749478080.7120776,1,1,True,0,1.0
2,1749478080.7437334,1,1,True,0,1.0
3,1749478080.7737327,1,1,True,0,1.0
4,1749478080.8017294,1,1,True,0,1.0
5,1749478080.830465,1,1,True,0,1.0
6,1749478080.86312,1,1,False,0,1.0
7,1749478080.8931148,1,1,False,0,1.0
8,1749478080.9211981,1,1,False,0,1.0
9,1749478080.9472723,1,1,False,0,1.0
10,1749478081.0364194,1,1,False,0,1.0
11,1749478081.074055,1,1,False,0,1.0
12,1749478081.121638,1,1,False,0,1.0
13,1749478081.1634598,1,1,False,0,1.0
14,1749478081.2052429,1,1,False,0,1.0
15,1749478081.2302725,1,1,False,0,1.0
16,1749478081.2571585,1,1,False,0,1.0
17,1749478081.289313,1,1,False,0,1.0
18,1749478081.3211634,1,1,False,0,1.0
19,1749478081.3527079,1,1,False,0,1.0
20,1749478081.382934,1,1,False,0,1.0
21,1749478081.4187145,1,1,False,0,1.0
22,1749478081.4667594,1,1,False,0,1.0
23,1749478081.496845,1,1,False,0,1.0
24,1749478081.528989,1,1,False,0,1.0
25,1749478081.561729,1,1,False,0,1.0
26,1749478081.5902727,1,1,False,0,1.0
27,1749478081.6236234,1,1,False,0,1.0
28,1749478081.6551433,1,1,False,0,1.0
29,1749478081.7050586,1,1,False,0,1.0
30,1749478081.7325726,1,1,False,0,1.0
31,1749478081.7687886,1,1,False,0,1.0
32,1749478081.7998557,1,1,False,0,1.0
33,1749478081.8311136,1,1,False,0,1.0
34,1749478081.8644454,1,1,False,0,1.0
35,1749478081.8968523,1,1,False,0,1.0
36,1749478081.9263208,1,1,False,0,1.0
37,1749478081.9564443,1,1,False,0,1.0
38,1749478081.9926438,1,1,False,0,1.0
39,1749478082.025196,1,1,False,0,1.0
40,1749478082.050139,1,1,False,0,1.0
41,1749478082.0685928,1,1,False,0,1.0
42,1749478082.096812,1,1,False,0,1.0
43,1749478082.1423993,1,1,False,0,1.0
44,1749478082.175672,1,1,False,0,1.0
45,1749478082.2097082,1,1,False,0,1.0
46,1749478082.2384193,1,1,False,0,1.0
